table,table_attribute
Programs,abbreviation
studiesGermplasm,accessionNumber
Trials,trials_active
Studies,studies_active
studiesLayout,blockNumber
studiesObservations,blockNumber
studies,blockNumber
Studies,contactDbId
studyTypes,description
Trials,trials_endDate
Studies,studies_endDate
studiesGermplasm,entryNumber
studiesObservations,entryNumber
studiesLayout,entryType
studiesObservations,entryType
studies,entryType
studiesObservations,factor
studiesLayout,germplasmDbId
studiesGermplasm,germplasmDbId
studiesObservations,germplasmDbId
studies,germplasmDbId
studiesLayout,germplasmName
studiesGermplasm,germplasmName
studiesObservations,germplasmName
studies,germplasmName
studiesGermplasm,germplasmPUI
Programs,leadPerson
Studies,locationDbId
studies,locationDbId
studies,locationName
studiesObservations,modality
Programs,programName
studyTypes,studyTypes_name
Programs,progams_objective
studiesObservations,observationDbId
studiesLayout,observationLevel
studiesObservations,observationLevel
studiesObservations,observationLevels
studiesObservations,observationTimestamp
studies,observationTimestamp
studiesLayout,observationUnitDbId
studiesObservations,observationUnitDbId
studies,observationUnitDbId
studiesLayout,observationUnitName
studiesObservations,observationUnitName
studiesObservations,observationVariableDbId
studiesObservations,observationVariableName
studiesObservations,operator
studiesGermplasm,pedigree
studiesObservations,pedigree
studiesObservations,plantNumber
studiesObservations,plotNumber
studies,plotNumber
Programs,programDbId
Trials,programDbId
studiesObservations,programDbId
studiesObservations,programName
studiesLayout,replicate
studiesObservations,replicate
studies,replicate
studiesObservations,seasons
Studies,seasons
studiesGermplasm,seedSource
Trials,startDate
Studies,startDate
Studies,studyDbId
studiesLayout,studyDbId
studiesGermplasm,studyDbId
studiesObservations,studyDbId
studies,studyDbId
studiesObservations,studyLocation
studiesObservations,studyLocationDbId
Studies,studyName
studiesObservations,studyName
studies,studyName
Studies,studyType
studiesGermplasm,synonyms
Trials,trialDbId
Studies,trialDbId
Trials,trialName
studiesGermplasm,trialName
studiesObservations,uploadedBy
studiesObservations,value
studies,variable1Id|plant height
studies,variable2Id|fruit weight
studies,variable3Id|root weight
studiesLayout,X
studiesObservations,X
studies,X
studiesLayout,Y
studiesObservations,Y
studies,Y
studies,year
